ID,cTime,maxDeflection,vi,surfaceTension,radius
20211023110517,0.425,0.0568,-0.476,82,0.35
20211023110522,4.28,0.8792,-0.642,82,1.75
20211023110542,8.62,1.5778,-0.556,82,2.78
20211023110621,0.415,0.0549,-0.476,87,0.35
20211023110626,4.14,0.8544,-0.642,87,1.75
20211023110645,8.44,1.5299,-0.556,87,2.78
20211023111012,0.455,0.0604,-0.476,72,0.35
20211023111017,4.56,0.9389,-0.642,72,1.75
20211023111038,9.12,1.6724,-0.556,72,2.78
20211023111119,0.455,0.0604,-0.476,73,0.35
20211023111124,4.54,0.9323,-0.642,73,1.75
20211023111144,9.06,1.6611,-0.556,73,2.78
20211023111225,0.45,0.0599,-0.476,74,0.35
20211023111230,4.5,0.9258,-0.642,74,1.75
20211023111251,9,1.6495,-0.556,74,2.78
20211023111333,0.445,0.0597,-0.476,75,0.35
20211023111338,4.48,0.9195,-0.642,75,1.75
20211023111359,8.94,1.6386,-0.556,75,2.78
20211023111439,0.445,0.0592,-0.476,76,0.35
20211023111445,4.44,0.9131,-0.642,76,1.75
20211023111507,8.88,1.6284,-0.556,76,2.78
20211023111546,0.44,0.0588,-0.476,77,0.35
20211023111551,4.42,0.9071,-0.642,77,1.75
20211023111611,8.82,1.6188,-0.556,77,2.78
20211023111649,0.435,0.0583,-0.476,78,0.35
20211023111654,4.38,0.9012,-0.642,78,1.75
20211023111713,8.76,1.6096,-0.556,78,2.78
20211023111752,0.435,0.0579,-0.476,79,0.35
20211023111757,4.36,0.8961,-0.642,79,1.75
20211023111817,8.72,1.5999,-0.556,79,2.78
20211023111855,0.43,0.0574,-0.476,80,0.35
20211023111859,4.32,0.8902,-0.642,80,1.75
20211023111919,8.66,1.5906,-0.556,80,2.78
20211023111958,0.43,0.0573,-0.476,81,0.35
20211023112002,4.3,0.8846,-0.642,81,1.75
20211023112022,8.62,1.5821,-0.556,81,2.78
