ID,cTime,maxDeflection,vi,surfaceTension,radius
20211025105344,1.76,0.0925,-0.195,72,0.795
20211025105357,1.74,0.1416,-0.297,72,0.795
20211025105421,1.76,0.1882,-0.398,72,0.795
20211025105444,1.64,0.2199,-0.498,72,0.795
20211025105456,1.53,0.2707,-0.598,72,0.795
20211025105539,1.51,0.3179,-0.699,72,0.795
20211025105655,1.54,0.3583,-0.799,72,0.795
20211025105737,1.45,0.3957,-0.899,72,0.795
20211025105859,1.48,0.4291,-0.999,72,0.795
20211025105923,1.435,0.4809,-1.099,72,0.795
20211025110146,1.44,0.5214,-1.199,72,0.795
20211025110405,5.08,0.3297,-0.177,72,1.75
20211025110429,4.86,0.4736,-0.285,72,1.75
20211025110513,4.75,0.6172,-0.389,72,1.75
20211025111342,4.68,0.7586,-0.491,72,1.75
20211025111608,4.64,0.8853,-0.593,72,1.75
20211025111646,4.59,1.0285,-0.694,72,1.75
20211025111802,4.57,1.1641,-0.795,72,1.75
20211025111916,4.53,1.2969,-0.895,72,1.75
20211025112035,4.51,1.4222,-0.996,72,1.75
20211025112113,4.48,1.5545,-1.096,72,1.75
20211025112149,4.4812,1.7022,-1.196,72,1.75
20211025113155,9.8,0.6627,-0.162,72,2.78
20211025113232,9.34,0.9293,-0.276,72,2.78
20211025113340,9.04,1.191,-0.383,72,2.78
20211025113441,8.83,1.4545,-0.486,72,2.78
20211025113649,8.68,1.7108,-0.589,72,2.78
20211025113855,8.58,1.9597,-0.69,72,2.78
20211025113957,8.455,2.2196,-0.791,72,2.78
20211025114356,8.3862,2.476,-0.892,72,2.78
20211025115830,8.32,2.7134,-0.993,72,2.78
20211025120009,8.245,2.9653,-1.094,72,2.78
20211025121132,8.2,3.2191,-1.194,72,2.78
20211025132951,0.46,0.0224,-0.196,72,0.35
20211025133017,0.48,0.0378,-0.297,72,0.35
20211025133042,0.48,0.0542,-0.398,72,0.35
20211025133106,0.46,0.0604,-0.498,72,0.35
20211025133128,0.43,0.0744,-0.599,72,0.35
20211025133209,0.43,0.0836,-0.699,72,0.35
20211025133247,0.43,0.0997,-0.799,72,0.35
20211025133320,0.42,0.104,-0.899,72,0.35
20211025133338,0.43,0.1224,-0.999,72,0.35
20211025133411,0.44,0.1188,-1.099,72,0.35
20211025133421,0.43,0.1514,-1.199,72,0.35
20211025133523,3.12,0.1947,-0.184,72,1.25
20211025133541,3.12,0.2909,-0.29,72,1.25
20211025133612,3,0.3631,-0.392,72,1.25
20211025133627,2.99,0.4628,-0.494,72,1.25
20211025133723,2.92,0.5462,-0.595,72,1.25
20211025133909,2.91,0.6264,-0.696,72,1.25
20211025134003,2.92,0.7141,-0.796,72,1.25
20211025134149,2.86,0.7901,-0.897,72,1.25
20211025134242,2.86,0.8733,-0.997,72,1.25
20211025135742,2.865,0.9587,-1.097,72,1.25
20211025135947,2.86,1.0447,-1.197,72,1.25
20211025140357,11.88,0.8194,-0.156,72,3.175
20211025140525,11.28,1.1375,-0.273,72,3.175
20211025140811,10.92,1.4393,-0.38,72,3.175
20211025140851,10.605,1.7587,-0.484,72,3.175
20211025141349,10.43,2.0571,-0.587,72,3.175
20211025141505,10.245,2.3673,-0.689,72,3.175
20211025141948,10.14,2.665,-0.79,72,3.175
20211025142214,10.025,2.9691,-0.891,72,3.175
20211025143139,9.96,3.2705,-0.992,72,3.175
20211025144624,9.89,3.5602,-1.093,72,3.175
20211025145725,9.8,3.8545,-1.193,72,3.175
20211025153806,0.44,0.0484,-0.398,72,0.35
20211025154007,0.42,0.0965,-0.799,72,0.35
20211025154449,0.405,0.1476,-1.199,72,0.35
20211025163251,1.56,0.1809,-0.395,72,0.795
20211025163459,1.45,0.3475,-0.798,72,0.795
20211025163844,1.4125,0.5168,-1.198,72,0.795
20211025170525,2.965,0.3695,-0.392,72,1.25
20211025171046,2.8775,0.7038,-0.796,72,1.25
20211025173115,2.8288,1.0268,-1.197,72,1.25
20211025181234,4.71,0.609,-0.389,72,1.75
20211026103112,0.44,0.1017,-0.799,72,0.35
20211026103214,1.5,0.3556,-0.798,72,0.795
20211026103330,2.8925,0.7089,-0.796,72,1.25
20211026104055,4.56,1.158,-0.795,72,1.75
