radius,surfaceTension,impactVelocity,halfInterval,N
0.35,27,0.00304824113845825,3.06367874145508e-05,50
0.795,27,0.00168800354003906,2.86102294921875e-05,50
1.75,27,0.00238037109375,3.0517578125e-05,50
3,27,0.00390625,3.0517578125e-05,50
0.9,27,0.002197265625,4.8828125e-05,100
0.95,27,0.003955078125,4.88281249999998e-05,100
0.995,27,0.003466796875,4.8828125e-05,100
