ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
Fri000347,-0.013,27,0.35,0.8392,0.0035433205,0.409164058142452
Fri001046,-0.012,27,0.35,0.8496,0.0033294556,0.395255234347303
Fri001752,-0.011,27,0.35,0.8816,0.0031505674,0.390971709067342
Fri002501,-0.01,27,0.35,0.8776,0.0028937652,0.358764773041755
Fri003213,-0.009,27,0.35,0.8912,0.0026741612,0.328070469836633
Fri003927,-0.008,27,0.35,0.94,0.0024984598,0.308546301224131
Fri004549,-0.007,27,0.35,0.9416,0.0022433524,0.24623101014681
Fri005210,-0.006,27,0.35,0.9816,0.0020389712,0.169693956029981
Fri005841,-0.005,27,0.35,1.056,0.001853073,0.0757030529994316
Fri010537,-0.004,27,0.35,1.1176,0.0016237793,-0.131422563235763
Fri011251,-0.003,27,0.35,Inf,0.0014734087,NaN
Fri012115,-0.002,27,0.35,Inf,0.0012944148,NaN
Fri012953,-0.001,27,0.35,Inf,0.0011636774,NaN
Fri013821,-0.05,27,0.795,3.2705,0.0451748582,0.515819630181825
Fri014251,-0.04,27,0.795,3.3785,0.0376446645,0.513416264996368
Fri014730,-0.03,27,0.795,3.57,0.0306041661,0.551241969780084
Fri015509,-0.029,27,0.795,3.6064,0.0300356627,0.571642351128774
Fri020252,-0.028,27,0.795,3.6256,0.0292672994,0.570172610702228
Fri021041,-0.027,27,0.795,3.644,0.0284723984,0.564836990584826
Fri021827,-0.026,27,0.795,3.6688,0.0277295695,0.565130151305621
Fri022617,-0.025,27,0.795,3.7048,0.027079572,0.577738300245898
Fri023415,-0.024,27,0.795,3.7392,0.0264367544,0.590239778910288
Fri024214,-0.023,27,0.795,3.764,0.0256368302,0.582514133639015
Fri025017,-0.022,27,0.795,3.796,0.0248936024,0.581732376173261
Fri025819,-0.021,27,0.795,3.836,0.0242447335,0.594566214675894
Fri030630,-0.02,27,0.795,3.8656,0.0236387296,0.625400714411433
Fri031443,-0.019,27,0.795,3.9136,0.0228453539,0.604494249251963
Fri032259,-0.018,27,0.795,3.9576,0.0221253726,0.602428320265662
Fri033122,-0.017,27,0.795,3.9952,0.0214966747,0.630287066597041
Fri033948,-0.016,27,0.795,4.0408,0.020911794,0.662136473994667
Fri034822,-0.015,27,0.795,4.0952,0.0201489278,0.644277192810331
Fri035701,-0.014,27,0.795,4.1576,0.0194642911,0.640666515241952
Fri040547,-0.013,27,0.795,4.2192,0.0188965078,0.675471677428299
Fri041447,-0.012,27,0.795,4.2888,0.018343286,0.707268174898205
Fri042347,-0.011,27,0.795,4.3656,0.0176369167,0.683339904835241
Fri043300,-0.01,27,0.795,4.4544,0.0170275196,0.677544635582231
Fri044223,-0.009,27,0.795,4.5456,0.016532217,0.714591431591878
Fri045153,-0.008,27,0.795,4.6504,0.0161207616,0.779775284877532
Fri050136,-0.007,27,0.795,4.7672,0.0155227996,0.730092885264129
Fri051134,-0.006,27,0.795,4.896,0.0150337863,0.682914791863703
Fri052147,-0.005,27,0.795,5.0288,0.0146436601,0.641575021065628
Sat001408,-0.003,27,0.795,5.3065,0.014421168,0.632367666837616
Sat001444,-0.004,27,0.795,5.167,0.0146406167,0.649255122380271
Sat001158,-0.002,27,0.795,Inf,0.0143068858,NaN
Fri061649,-0.05,27,0.9,3.8405,0.056277173,0.782310762449864
Fri062129,-0.04,27,0.9,3.943,0.0473645142,0.789281868189225
