ID,vi,surfaceTension,radius,cTime,maxDeflection
4108,-0.0046875,27,0.95,6.044,0.0229706794
4344,-0.00390625,27,0.95,Inf,0.0226684347
4631,-0.004296875,27,0.95,6.176,0.0228205726
4908,-0.0041015625,27,0.95,6.296,0.0227384838
5152,-0.0040039063,27,0.95,6.356,0.0227120343
5431,-0.1,27,0.995,4.005,0.1159283703
5559,-0.05,27,0.995,4.278,0.0667813301
5744,-0.025,27,0.995,4.748,0.0417602944
5934,-0.0125,27,0.995,5.368,0.0304257574
136,-0.00625,27,0.995,6.016,0.0263239683
354,-0.003125,27,0.995,Inf,0.0253246215
619,-0.0046875,27,0.995,6.344,0.0258607578
835,-0.00390625,27,0.995,6.544,0.025585109
1052,-0.003515625,27,0.995,6.68,0.0254450557
1313,-0.0033203125,27,0.995,Inf,0.0253894822
1538,-0.0034179688,27,0.995,Inf,0.0254129038
