ID,vi,surfaceTension,radius,cTime,maxDeflection
2843,-0.14194,73,0.35,0.41875,0.0183534953
3418,-0.30645,73,0.35,0.411375,0.0386744075
4331,-0.48065,73,0.35,0.4084375,0.0596943693
5142,-0.7,73,0.35,0.40071875,0.0850662071
52,-0.88387,73,0.35,0.39871875,0.1065970046
802,-1.07742,73,0.35,0.39546875,0.128565096
1401,-1.20645,73,0.35,0.395984375,0.1438509228
2241,-0.20323,73,0.795,1.4755,0.0930153301
2655,-0.31613,73,0.795,1.45775,0.1419515334
3123,-0.50323,73,0.795,1.426875,0.2204878624
3553,-0.78065,73,0.795,1.4059375,0.3356557565
4049,-0.99677,73,0.795,1.3994375,0.425416565
4451,-1.20323,73,0.795,1.3924375,0.5098737132
4827,-0.83548,73,0.795,1.4039375,0.3584316945
5306,-0.2,73,1.75,4.787,0.3162518324
5654,-0.34194,73,1.75,4.6875,0.5165679626
59,-0.64839,73,1.75,4.58475,0.9422887849
518,-0.85161,73,1.75,4.548875,1.2224786254
954,-1.00968,73,1.75,4.535875,1.4405099877
1420,-1.14516,73,1.75,4.524375,1.6269950649
1826,-1.26774,73,1.75,4.518875,1.7963328337
2221,-0.42581,73,3,9.8905,1.3899375439
2831,-0.56774,73,3,9.7275,1.8029090417
3549,-0.70323,73,3,9.65575,2.2003495535
4211,-0.84839,73,3,9.58475,2.6241528315
4812,-0.99032,73,3,9.54975,3.0384760599
5402,-1.13226,73,3,9.51875,3.455887085
5943,-0.65484,73,3,9.6745,2.059020087
