ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat214616,-0.3832,115,2.38,6.964875,0.6569917263,0.552824476733874,7.93,6.328875,0.512808785137744
Sat214952,-0.4667,115,2.38,6.921875,0.7868993421,0.544042317634254,7.93,6.269875,0.502865063348512
Sat215330,-0.541,115,2.38,6.8929609375,0.9000226262,0.532708899261978,7.93,6.2219609375,0.490111570352559
Sat215711,-0.6084,115,2.38,6.8769609375,1.0032377079,0.527010412730359,7.93,6.1929609375,0.483033878973247
Sat220051,-0.6623,115,2.38,6.8649667969,1.0846189241,0.522087493688122,7.93,6.1699667969,0.477099119059375
Sat220446,-0.719,115,2.38,6.8559648438,1.1706489475,0.518766625920731,7.93,6.1519648438,0.472751109774355
Sat220835,-0.7299,115,2.38,6.8539609375,1.1878667829,0.520241629365318,7.93,6.1519609375,0.474157862476985
