ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat205259,-0.35,70,2.38,4.458046875,0.4680235618,0.358958149250862,3.25,5.090046875,0.358957653090204
Sat205537,-0.4,70,2.38,4.409875,0.5275340568,0.357614503186668,3.25,5.042875,0.357614122712602
Sat205810,-0.45,70,2.38,4.3819335937,0.5882151473,0.357508111196646,3.25,5.0169335937,0.357507809625332
Sat210050,-0.5,70,2.38,4.3439609375,0.6462701745,0.354787797663052,3.25,4.9799609375,0.354787553005608
Sat210325,-0.55,70,2.38,4.3189609375,0.705432447,0.353331702900654,3.25,4.9579609375,0.353331499750665
Sat210600,-0.6,70,2.38,4.2989609375,0.7644341649,0.351824823394682,3.25,4.9409609375,0.351824651890841
Sat210836,-0.65,70,2.38,4.2809609375,0.8230956309,0.35019038480495,3.25,4.9249609375,0.350190238216256
Sat211113,-0.7,70,2.38,4.2629677734,0.881251314,0.348304765422263,3.25,4.9099677734,0.348304638438112
Sat211425,-0.75,70,2.38,4.2469677734,0.9389303797,0.346262521213148,3.25,4.8949677734,0.346262410424874
Sat214747,-0.35,70,2.38,9.036046875,0.7766160617,0.559918363646257,7.93,8.195046875,0.514061875841861
Sat215244,-0.4,70,2.38,8.984875,0.8752281392,0.551713869441275,7.93,8.128875,0.505105193169628
Sat215734,-0.45,70,2.38,8.9459335938,0.9730764972,0.544054837366389,7.93,8.0739335938,0.496487552680306
Sat220231,-0.5,70,2.38,8.9139609375,1.0700850179,0.537032042149736,7.93,8.0269609375,0.488434927658153
Sat220728,-0.55,70,2.38,8.8889609375,1.1666624197,0.531131547321733,7.93,7.9869609375,0.481516501755848
Sat221222,-0.6,70,2.38,8.8719609375,1.2644458716,0.528384654809249,7.93,7.9609609375,0.477804317034514
Sat221736,-0.65,70,2.38,8.8549609375,1.3602863645,0.523746745824054,7.93,7.9309609375,0.471992800060378
Sat222232,-0.7,70,2.38,8.8439677734,1.4582354856,0.523340289764656,7.93,7.9149677734,0.47065259949763
Sat222803,-0.75,70,2.38,8.8319677734,1.5528077154,0.51854987321481,7.93,7.8889677734,0.464672982100439
