ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Wed213935,-0.3,115,2.38,3.522875,0.3190925647,0.380163733165733,3.25,3.997875,0.380163225599831
Wed214549,-0.35,115,2.38,3.492875,0.3679036735,0.380311900257665,3.25,3.969875,0.380311525781977
Wed215149,-0.4,115,2.38,3.453875,0.4147103032,0.377132939983387,3.25,3.931875,0.377132652674374
Wed215346,-0.3,115,2.38,7.034875,0.5274655903,0.572454725281439,7.93,6.423875,0.533764535655809
Wed215752,-0.45,115,2.38,3.4279980469,0.4620130817,0.375014161655891,3.25,3.9089980469,0.375013933221556
Wed220629,-0.5,115,2.38,3.4069609375,0.5091573038,0.373138116998528,3.25,3.8899609375,0.373137931197319
Wed220535,-0.35,115,2.38,6.987875,0.6054951111,0.560606486725954,7.93,6.361875,0.521301346236578
Wed221239,-0.55,115,2.38,3.387953125,0.5557983088,0.370719570430834,3.25,3.872953125,0.370719416240271
Wed221646,-0.4,115,2.38,6.952875,0.6830534026,0.550823167452744,7.93,6.313875,0.510788144032206
Wed221840,-0.6,115,2.38,3.3709648437,0.6021170759,0.368418798345562,3.25,3.8569648437,0.368418668515517
Wed222448,-0.65,115,2.38,3.3549375,0.6480686428,0.365826648730274,3.25,3.8429375,0.36582653765061
Wed222742,-0.45,115,2.38,6.9299980469,0.761640803,0.54795171107941,7.93,6.2839980469,0.507121493366978
Wed223105,-0.7,115,2.38,3.3419609375,0.6940660004,0.363601618408156,3.25,3.8319609375,0.363601522237749
Wed223824,-0.75,115,2.38,3.3339667969,0.7410407192,0.362518795842449,3.25,3.8269667969,0.362518711554429
Wed224053,-0.5,115,2.38,6.9079609375,0.8372497678,0.536253893095438,7.93,6.2439609375,0.494198572133222
Wed224547,-0.8,115,2.38,3.3199648437,0.7856569138,0.359635547356276,3.25,3.8139648437,0.35963547312474
Wed225222,-0.55,115,2.38,6.893953125,0.9146259485,0.533202974179789,7.93,6.221953125,0.490282469586268
Wed230332,-0.6,115,2.38,6.8769648438,0.989705488,0.526665057499618,7.93,6.1929648438,0.482946098752674
Wed231459,-0.65,115,2.38,6.8669375,1.0661245072,0.523778088101087,7.93,6.1749375,0.479079704077108
Wed232641,-0.7,115,2.38,6.8589609375,1.1423918777,0.521438987446193,7.93,6.1599609375,0.475810792447599
Wed233930,-0.75,115,2.38,6.8519667969,1.2183978525,0.519345667526996,7.93,6.1459667969,0.472707181778098
Wed235231,-0.8,115,2.38,6.8459648438,1.2940307851,0.517212206168935,7.93,6.1339648438,0.469737498659455
