ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Wed214137,-0.3,99,2.38,3.796875,0.3436105807,0.374258154605597,3.25,4.314875,0.374257601091598
Wed214747,-0.35,99,2.38,3.751875,0.3948290472,0.372957022775309,3.25,4.270875,0.372956615326896
Wed215346,-0.4,99,2.38,3.720875,0.4463810444,0.372260763224728,3.25,4.241875,0.372260450069906
Wed215755,-0.3,99,2.38,7.607875,0.5698370917,0.576334835289322,7.93,6.945875,0.536102240705724
Wed220042,-0.45,99,2.38,3.6929296875,0.4971010955,0.370260689767323,3.25,4.2159296875,0.370260441386521
Wed220832,-0.5,99,2.38,3.663953125,0.5468476557,0.367514264271991,3.25,4.188953125,0.367514062314218
Wed220906,-0.35,99,2.38,7.551875,0.6527544608,0.560723145921478,7.93,6.867875,0.519549396680421
Wed221435,-0.55,99,2.38,3.642953125,0.5968399008,0.365267438914405,3.25,4.169953125,0.36526727137132
Wed222052,-0.6,99,2.38,3.62496875,0.6466034441,0.363090457148782,3.25,4.15296875,0.363090316098913
Wed222013,-0.4,99,2.38,7.511875,0.7360292323,0.551232579065903,7.93,6.812875,0.509259942012935
Wed222640,-0.65,99,2.38,3.6089667969,0.6961702515,0.361026185254979,3.25,4.1389667969,0.361026064615233
Wed223201,-0.45,99,2.38,7.4839296875,0.8198502463,0.546221124117305,7.93,6.7759296875,0.503399984589353
Wed223303,-0.7,99,2.38,3.5949677734,0.7457417146,0.359112599962358,3.25,4.1279677734,0.359112495352556
Wed224048,-0.75,99,2.38,3.5869648437,0.7958866904,0.3577931229576,3.25,4.1219648437,0.357793031488902
Wed224432,-0.5,99,2.38,7.457953125,0.9013757097,0.537120864964709,7.93,6.733953125,0.493364942759756
Wed224755,-0.8,99,2.38,3.5709667969,0.8440454244,0.35515419797589,3.25,4.1079667969,0.355154117282949
Wed225554,-0.55,99,2.38,7.438953125,0.9833875022,0.531261781459725,7.93,6.702953125,0.486444902967824
Wed230720,-0.6,99,2.38,7.42496875,1.0654062227,0.526923286534529,7.93,6.67896875,0.481232811889645
Wed231837,-0.65,99,2.38,7.4139667969,1.1481078945,0.525373824408842,7.93,6.6619667969,0.478778058589708
Wed233023,-0.7,99,2.38,7.4039677734,1.2285541884,0.519672124122429,7.93,6.6389677734,0.471994359359262
Wed234333,-0.75,99,2.38,7.3959648437,1.3096654362,0.516426002181579,7.93,6.6219648437,0.4676919578888
Wed235622,-0.8,99,2.38,7.3899667969,1.3908947777,0.514500102791707,7.93,6.6089667969,0.464867975464786
