ID,vi,surfaceTension,radius,cTime,maxDeflection
2949,-0.19713,71,1.75,4.6875,0.29294
3133,-0.34036,71,1.75,4.65625,0.49488
3458,-0.54928,71,1.75,4.5375,0.78053
4132,-0.77913,71,1.75,4.575,1.10251
4558,-0.95225,71,1.75,4.54844,1.33839
5447,-1.17613,71,1.75,4.53906,1.64681
336,-0.24185,71,2.78,9.2125,0.74162
805,-0.36122,71,2.78,8.96875,1.06033
445,-0.51345,71,2.78,8.875,1.48105
1716,-0.71941,71,2.78,8.69313,2.0286
2728,-0.84478,71,2.78,8.65563,2.36259
3958,-1.12239,71,2.78,8.63062,3.10788
1111,-0.09864,71,0.795,1.28,0.03701
1116,-0.29854,71,0.795,1.39,0.12488
1134,-0.49554,71,0.795,1.3625,0.20565
1211,-0.79702,71,0.795,1.3525,0.32887
1326,-0.99403,71,0.795,1.35875,0.41114
1549,-1.19403,71,0.795,1.38,0.49875
1820,-0.14194,71,0.35,0.2,0.0055
1822,-0.47728,71,0.35,0.335,0.04505
1827,-0.69237,71,0.35,0.3425,0.06981
1837,-0.87446,71,0.35,0.3925,0.09837
1848,-1.02371,71,0.35,0.365,0.10766
1859,-1.19394,71,0.35,0.3475,0.12393
