ID,vi,surfaceTension,radius,cTime,maxDeflection
853,-0.09857,72,0.795,1.25,0.03709
1053,-0.19708,72,0.795,1.32,0.07787
1302,-0.29854,72,0.795,1.44,0.1272
1731,-0.49852,72,0.795,1.4275,0.21262
2625,-0.79702,72,0.795,1.34625,0.32663
4305,-0.99404,72,0.795,1.37625,0.4131
5949,-1.19403,72,0.795,1.34062,0.48723
3250,-0.14007,72,0.35,0.43,0.0154
3759,-0.30144,72,0.35,0.3575,0.03154
5821,-0.47755,72,0.35,0.3575,0.05083
745,-0.69251,72,0.35,0.3825,0.07834
2950,-0.87461,72,0.35,0.365,0.09658
1017,-1.07163,72,0.35,0.37187,0.11975
4808,-1.19401,72,0.35,0.3875,0.13764
3927,-0.19706,72,1.75,4.73,0.30188
201,-0.34032,72,1.75,4.6625,0.50414
3751,-0.64479,72,1.75,4.52875,0.92178
5952,-0.84479,72,1.75,4.5425,1.19456
2249,-1.00001,72,1.75,4.53125,1.41004
1209,-1.13435,72,1.75,4.44,1.55192
1514,-1.25674,72,1.75,4.475,1.73602
1808,-0.19721,72,2.78,9.34,0.60287
1852,-0.3583,72,2.78,8.99,1.02874
2028,-0.50751,72,2.78,8.605,1.42068
2330,-0.55826,72,2.78,8.62,1.55785
2624,-0.78211,72,2.78,8.46,2.14274
3205,-0.94331,72,2.78,8.425,2.56366
3748,-1.02987,72,2.78,8.42,2.79268
4336,-1.24479,72,2.78,8.40625,3.3572
