ID,vi,surfaceTension,radius,cTime,maxDeflection
3727,-0.09881,23,0.795,2.2,0.06305
3727,-0.29858,23,0.795,2.46,0.21768
3731,-0.49556,23,0.795,2.425,0.36005
3736,-0.79703,23,0.795,2.4575,0.5862
3748,-0.99404,23,0.795,2.365,0.71117
3812,-1.19404,23,0.795,2.35375,0.84926
3835,-0.14122,23,0.35,0.72,0.00579
3835,-0.47709,23,0.35,0.76,0.09591
3836,-0.69202,23,0.35,0.55,0.10805
3837,-0.87436,23,0.35,0.57,0.14311
3839,-1.02361,23,0.35,0.605,0.17858
3841,-1.19376,23,0.35,0.66,0.22399
3842,-0.19706,23,1.75,8.545,0.55725
3902,-0.34032,23,1.75,8.2075,0.9067
3941,-0.54927,23,1.75,8.115,1.41687
4101,-0.77911,23,1.75,8.05188,1.97499
4338,-0.95224,23,1.75,8.05625,2.40368
4620,-1.17613,23,1.75,8.08375,2.95969
4859,-0.24182,23,2.78,17.07,1.41261
5026,-0.36121,23,2.78,16.47,1.96171
5312,-0.51344,23,2.78,15.86188,2.67518
5832,-0.71941,23,2.78,15.61,3.64025
211,-0.84478,23,2.78,15.58031,4.2361
955,-1.12239,23,2.78,15.71906,5.58265
