ID,vi,surfaceTension,radius,cTime,maxDeflection
2552,-0.09859,22,0.795,2.49,0.07606
2555,-0.19706,22,0.795,2.475,0.14987
2600,-0.29853,22,0.795,2.46,0.22568
2611,-0.49852,22,0.795,2.5225,0.38143
2632,-0.79702,22,0.795,2.45312,0.59458
2720,-0.99404,22,0.795,2.44812,0.73853
2815,-1.19403,22,0.795,2.44875,0.88491
2908,-0.14002,22,0.35,0.6,0.02076
2909,-0.30135,22,0.35,0.59,0.04935
2910,-0.47754,22,0.35,0.7,0.09568
2912,-0.6925,22,0.35,0.625,0.12939
2916,-0.87459,22,0.35,0.665,0.17137
2919,-1.07162,22,0.35,0.65625,0.20812
2927,-1.19401,22,0.35,0.64125,0.22857
2934,-0.19704,22,1.75,8.7225,0.58086
3046,-0.34031,22,1.75,8.5075,0.94025
3751,-0.6448,22,1.75,8.2125,1.67282
3836,-0.84479,22,1.75,8.24625,2.18017
4000,-1.00001,22,1.75,8.255,2.5724
4127,-1.13433,22,1.75,8.23312,2.909
4643,-1.25672,22,1.75,8.22687,3.21689
5225,-0.19706,22,2.78,17.695,1.23404
5348,-0.35823,22,2.78,16.7925,1.98817
5631,-0.50747,22,2.78,16.17,2.69399
154,-0.55822,22,2.78,16.14625,2.93944
643,-0.7821,22,2.78,15.91687,4.01498
1502,-0.94329,22,2.78,15.9475,4.80485
2237,-1.02986,22,2.78,15.99625,5.23625
3044,-1.24478,22,2.78,16.24,6.32351
